date,rate_change,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership,ticker
12/09/2024,13.8(-0.36 %),0,0.0,0,0,0,0.0,"-8,118,484",7.73%,acc
11/09/2024,13.85(0.00 %),0,0.0,0,0,0,0.0,"-8,118,484",7.73%,acc
10/09/2024,13.85(0.36 %),0,0.0,0,0,0,0.0,"-8,118,484",7.73%,acc
09/09/2024,13.8(-0.36 %),0,0.0,0,0,0,0.0,"-8,118,484",7.73%,acc
06/09/2024,13.85(0.36 %),0,0.0,0,0,0,0.0,"-8,118,484",7.73%,acc
05/09/2024,13.8(-0.36 %),0,0.0,0,0,0,0.0,"-8,118,484",7.73%,acc
04/09/2024,13.85(0.00 %),0,0.0,0,0,0,0.0,"-8,118,484",7.73%,acc
30/08/2024,13.85(0.36 %),0,0.0,0,0,0,0.0,"-8,118,484",7.73%,acc
29/08/2024,13.8(0.73 %),0,0.0,0,0,0,0.0,"-8,118,484",7.73%,acc
28/08/2024,13.7(2.24 %),0,0.0,0,0,0,0.0,"-8,118,484",7.73%,acc
27/08/2024,13.4(-0.37 %),0,0.0,0,0,0,0.0,"-8,118,484",7.73%,acc
26/08/2024,13.45(-1.47 %),0,0.0,0,0,0,0.0,"-8,118,484",7.73%,acc
23/08/2024,13.65(-1.09 %),0,0.0,0,0,0,0.0,"-8,118,484",7.73%,acc
22/08/2024,13.8(0.00 %),0,0.0,0,0,0,0.0,"-8,118,484",7.73%,acc
21/08/2024,13.8(0.36 %),0,0.0,0,0,0,0.0,"-8,118,484",7.73%,acc
20/08/2024,13.75(0.36 %),0,0.0,0,0,0,0.0,"-8,118,484",7.73%,acc
19/08/2024,13.7(0.74 %),0,0.0,0,0,0,0.0,"-8,118,484",7.73%,acc
16/08/2024,13.6(1.87 %),0,0.0,0,0,0,0.0,"-8,118,484",7.73%,acc
15/08/2024,13.35(-0.74 %),0,0.0,0,0,0,0.0,"-8,118,484",7.73%,acc
14/08/2024,13.45(-1.10 %),0,0.0,0,0,0,0.0,"-8,118,484",7.73%,acc
13/08/2024,13.6(0.00 %),0,0.0,0,0,0,0.0,"-8,118,484",7.73%,acc
12/08/2024,13.6(-0.73 %),0,0.0,0,0,0,0.0,"-8,118,484",7.73%,acc
09/08/2024,13.7(3.01 %),0,0.0,0,0,0,0.0,"-8,118,484",7.73%,acc
08/08/2024,13.3(0.38 %),0,0.0,0,0,0,0.0,"-8,118,484",7.73%,acc
07/08/2024,13.25(0.00 %),0,0.0,0,0,0,0.0,"-8,118,484",7.73%,acc
06/08/2024,13.25(6.85 %),0,0.0,0,0,0,0.0,"-8,118,484",7.73%,acc
05/08/2024,12.4(-6.42 %),0,0.0,0,0,0,0.0,"-8,118,484",7.73%,acc
02/08/2024,13.25(1.92 %),0,0.0,0,0,0,0.0,"-8,118,484",7.73%,acc
01/08/2024,13(-5.80 %),0,0.0,0,0,0,0.0,"-8,118,484",7.73%,acc
31/07/2024,13.8(-0.72 %),0,0.0,0,0,0,0.0,"-8,118,484",7.73%,acc
30/07/2024,13.9(0.00 %),0,0.0,0,0,0,0.0,"-8,118,484",7.73%,acc
29/07/2024,13.9(0.00 %),0,0.0,0,0,0,0.0,"-8,118,484",7.73%,acc
24/07/2024,13.35(-2.55 %),0,0.0,0,0,0,0.0,"-8,118,484",7.73%,acc
23/07/2024,13.7(-1.79 %),0,0.0,0,0,0,0.0,"-8,118,484",7.73%,acc
22/07/2024,13.95(0.00 %),0,0.0,0,0,0,0.0,"-8,118,484",7.73%,acc
19/07/2024,13.95(0.00 %),0,0.0,0,0,0,0.0,"-8,118,484",7.73%,acc
18/07/2024,13.95(-0.71 %),0,0.0,0,0,0,0.0,"-8,118,484",7.73%,acc
17/07/2024,0(0.00 %),0,0.0,0,0,0,0.0,"-8,118,484",7.73%,acc
16/07/2024,0(0.00 %),0,0.0,0,0,0,0.0,"-8,118,484",7.73%,acc
15/07/2024,13.7(1.11 %),0,0.0,0,0,0,0.0,"-8,118,484",7.73%,acc
12/07/2024,13.55(0.00 %),0,0.0,0,0,0,0.0,"-8,118,484",7.73%,acc
11/07/2024,13.55(0.37 %),0,0.0,0,0,0,0.0,"-8,118,484",7.73%,acc
10/07/2024,13.5(0.00 %),0,0.0,0,0,0,0.0,"-8,118,484",7.73%,acc
08/07/2024,13.5(0.37 %),0,0.0,0,0,0,0.0,"-8,118,484",7.73%,acc
04/07/2024,13.45(1.51 %),0,0.0,0,0,0,0.0,"-8,118,484",7.73%,acc
03/07/2024,13.25(-3.64 %),0,0.0,0,0,0,0.0,0,7.73%,acc
02/07/2024,13.75(4.17 %),0,0.0,0,0,0,0.0,"-8,118,484",7.73%,acc
01/07/2024,13.2(-4.69 %),0,0.0,0,0,0,0.0,"-8,118,584",7.73%,acc
28/06/2024,13.85(0.36 %),-100,-0.0,0,0,100,0.0,"-8,158,684",7.77%,acc
27/06/2024,13.8(0.36 %),"-40,100",-0.54,0,0,"40,100",0.54,"-8,158,684",7.77%,acc
26/06/2024,13.75(-0.72 %),0,0.0,0,0,0,0.0,"-8,158,684",7.77%,acc
25/06/2024,13.85(0.00 %),0,0.0,0,0,0,0.0,"-8,158,684",7.77%,acc
24/06/2024,13.85(-0.36 %),0,0.0,0,0,0,0.0,"-8,158,684",7.77%,acc
21/06/2024,13.9(-2.11 %),0,0.0,0,0,0,0.0,"-8,158,684",7.77%,acc
20/06/2024,14.2(-2.74 %),0,0.0,0,0,0,0.0,"-8,158,684",7.77%,acc
19/06/2024,14.6(0.00 %),0,0.0,0,0,0,0.0,"-8,158,684",7.77%,acc
18/06/2024,14.6(0.34 %),0,0.0,0,0,0,0.0,"-8,158,684",7.77%,acc
17/06/2024,0(0.00 %),0,0.0,0,0,0,0.0,"-8,158,684",7.77%,acc
14/06/2024,0(0.00 %),0,0.0,0,0,0,0.0,"-8,158,684",7.77%,acc
13/06/2024,14.75(1.37 %),0,0.0,0,0,0,0.0,"-8,158,691",7.77%,acc
12/06/2024,14.55(-1.69 %),0,0.0,0,0,0,0.0,"-8,163,834",7.78%,acc
11/06/2024,14.8(0.00 %),"-5,143",-0.08,0,0,"5,143",0.08,0,7.79%,acc
10/06/2024,14.8(-0.67 %),-900,-0.01,0,0,900,0.01,0,39.67%,acc
07/06/2024,14.9(0.00 %),"-6,900",-0.1,0,0,"6,900",0.1,"-8,171,654",7.78%,acc
06/06/2024,14.9(3.11 %),-20,-0.0,0,0,20,0.0,"-8,177,809",7.79%,acc
05/06/2024,14.45(1.76 %),"-6,100",-0.09,0,0,"6,100",0.09,0,39.67%,acc
04/06/2024,14.2(-0.70 %),0,0.0,0,0,0,0.0,0,39.67%,acc
03/06/2024,14.3(-1.38 %),"-3,000",-0.04,0,0,"3,000",0.04,0,39.67%,acc
31/05/2024,14.5(0.00 %),-200,-0.0,0,0,200,0.0,"-8,181,033",7.79%,acc
30/05/2024,14.5(0.00 %),0,0.0,0,0,0,0.0,"-8,187,533",7.8%,acc
29/05/2024,14.5(-2.03 %),"-6,500",-0.09,0,0,"6,500",0.09,"-8,188,533",7.8%,acc
28/05/2024,14.8(0.00 %),"-1,000",-0.01,0,0,"1,000",0.01,"-8,188,533",7.8%,acc
27/05/2024,14.8(-0.67 %),0,0.0,0,0,0,0.0,"-8,188,533",7.8%,acc
24/05/2024,14.9(0.00 %),0,0.0,0,0,0,0.0,0,39.67%,acc
23/05/2024,14.9(0.00 %),0,0.0,0,0,0,0.0,"-8,188,533",7.8%,acc
22/05/2024,14.9(0.34 %),0,0.0,0,0,0,0.0,"-8,188,533",7.8%,acc
21/05/2024,14.85(-0.34 %),0,0.0,0,0,0,0.0,"-8,188,533",7.8%,acc
20/05/2024,14.9(5.30 %),0,0.0,0,0,0,0.0,"-8,188,533",7.8%,acc
17/05/2024,14.15(0.00 %),0,0.0,0,0,0,0.0,"-8,188,533",7.8%,acc
16/05/2024,14.15(0.00 %),0,0.0,0,0,0,0.0,0,39.67%,acc
15/05/2024,14.15(0.35 %),0,0.0,0,0,0,0.0,0,39.67%,acc
14/05/2024,14.1(0.71 %),0,0.0,0,0,0,0.0,0,39.67%,acc
13/05/2024,14(0.72 %),0,0.0,0,0,0,0.0,"-8,188,533",7.8%,acc
10/05/2024,13.9(0.00 %),0,0.0,0,0,0,0.0,"-8,188,533",7.8%,acc
09/05/2024,13.9(0.36 %),0,0.0,0,0,0,0.0,"-8,188,533",7.8%,acc
08/05/2024,13.85(-0.72 %),0,0.0,0,0,0,0.0,"-8,188,533",7.8%,acc
07/05/2024,13.95(-0.36 %),0,0.0,0,0,0,0.0,"-8,188,533",7.8%,acc
06/05/2024,14(0.36 %),0,0.0,0,0,0,0.0,"-8,188,533",7.8%,acc
03/05/2024,13.95(-1.06 %),0,0.0,0,0,0,0.0,"-8,188,533",7.8%,acc
02/05/2024,14.1(0.00 %),0,0.0,0,0,0,0.0,"-8,188,533",7.8%,acc
26/04/2024,14.1(1.44 %),0,0.0,0,0,0,0.0,"-8,188,533",7.8%,acc
25/04/2024,13.9(0.72 %),0,0.0,0,0,0,0.0,0,39.67%,acc
24/04/2024,13.8(0.73 %),0,0.0,0,0,0,0.0,0,39.67%,acc
23/04/2024,13.7(1.48 %),0,0.0,0,0,0,0.0,"-8,188,533",7.8%,acc
22/04/2024,13.5(0.75 %),0,0.0,0,0,0,0.0,"-8,188,533",7.8%,acc
19/04/2024,13.4(-5.96 %),0,0.0,0,0,0,0.0,0,39.67%,acc
17/04/2024,14.25(-2.06 %),0,0.0,0,0,0,0.0,0,39.67%,acc
16/04/2024,14.55(-1.69 %),0,0.0,0,0,0,0.0,0,39.67%,acc
15/04/2024,14.8(-1.00 %),0,0.0,0,0,0,0.0,0,39.67%,acc
12/04/2024,14.95(-0.33 %),0,0.0,0,0,0,0.0,"-8,188,533",7.8%,acc
11/04/2024,15(0.00 %),0,0.0,0,0,0,0.0,"-8,188,533",7.8%,acc
10/04/2024,15(0.33 %),0,0.0,0,0,0,0.0,0,39.67%,acc
09/04/2024,14.95(0.34 %),0,0.0,0,0,0,0.0,0,39.67%,acc
08/04/2024,14.9(2.76 %),0,0.0,0,0,0,0.0,0,39.67%,acc
05/04/2024,14.5(0.00 %),0,0.0,0,0,0,0.0,"-8,188,533",7.8%,acc
04/04/2024,14.5(0.00 %),0,0.0,0,0,0,0.0,0,39.67%,acc
03/04/2024,14.5(0.00 %),0,0.0,0,0,0,0.0,"-8,188,633",7.8%,acc
02/04/2024,14.5(0.69 %),-100,-0.0,0,0,100,0.0,0,39.67%,acc
01/04/2024,14.4(0.35 %),0,0.0,0,0,0,0.0,"-8,188,633",7.8%,acc
29/03/2024,14.35(0.35 %),0,0.0,0,0,0,0.0,"-8,188,633",7.8%,acc
28/03/2024,14.3(2.14 %),0,0.0,0,0,0,0.0,"-8,188,633",7.8%,acc
27/03/2024,14(2.19 %),0,0.0,0,0,0,0.0,"-8,188,633",7.8%,acc
26/03/2024,13.7(0.74 %),0,0.0,0,0,0,0.0,0,39.67%,acc
25/03/2024,13.6(0.37 %),0,0.0,0,0,0,0.0,"-8,191,733",7.8%,acc
22/03/2024,13.55(1.88 %),"-3,100",-0.04,0,0,"3,100",0.04,0,39.67%,acc
21/03/2024,13.3(2.31 %),0,0.0,0,0,0,0.0,0,39.67%,acc
20/03/2024,13(1.17 %),0,0.0,0,0,0,0.0,0,39.67%,acc
19/03/2024,12.85(1.18 %),0,0.0,0,0,0,0.0,"-8,191,733",7.8%,acc
18/03/2024,12.7(0.00 %),0,0.0,0,0,0,0.0,"-8,191,733",7.8%,acc
15/03/2024,12.7(0.79 %),0,0.0,0,0,0,0.0,0,39.67%,acc
14/03/2024,12.6(0.80 %),0,0.0,0,0,0,0.0,0,39.67%,acc
13/03/2024,12.5(0.40 %),0,0.0,0,0,0,0.0,"-8,191,733",7.8%,acc
12/03/2024,12.45(0.40 %),0,0.0,0,0,0,0.0,"-8,191,733",7.8%,acc
11/03/2024,12.4(0.00 %),0,0.0,0,0,0,0.0,0,39.67%,acc
08/03/2024,12.4(0.40 %),0,0.0,0,0,0,0.0,0,39.67%,acc
07/03/2024,12.35(0.00 %),0,0.0,0,0,0,0.0,0,39.67%,acc
06/03/2024,12.35(0.41 %),0,0.0,0,0,0,0.0,0,39.67%,acc
05/03/2024,12.3(0.41 %),0,0.0,0,0,0,0.0,"-8,191,733",7.8%,acc
04/03/2024,12.25(0.41 %),0,0.0,0,0,0,0.0,0,39.67%,acc
01/03/2024,12.2(0.83 %),0,0.0,0,0,0,0.0,0,39.67%,acc
29/02/2024,12.1(-0.41 %),0,0.0,0,0,0,0.0,"-8,191,733",7.8%,acc
28/02/2024,12.15(0.00 %),0,0.0,0,0,0,0.0,0,39.67%,acc
27/02/2024,12.15(0.00 %),0,0.0,0,0,0,0.0,0,39.67%,acc
26/02/2024,12.15(0.00 %),0,0.0,0,0,0,0.0,"-8,191,733",7.8%,acc
23/02/2024,12.15(0.41 %),0,0.0,0,0,0,0.0,0,39.67%,acc
22/02/2024,12.1(0.41 %),0,0.0,0,0,0,0.0,"-8,191,733",7.8%,acc
21/02/2024,12.05(-0.41 %),0,0.0,0,0,0,0.0,"-8,191,733",7.8%,acc
20/02/2024,12.1(-0.41 %),0,0.0,0,0,0,0.0,"-8,194,633",7.8%,acc
19/02/2024,12.15(0.41 %),"-2,900",-0.03,0,0,"2,900",0.03,"-8,194,833",7.8%,acc
16/02/2024,12.1(1.26 %),-200,-0.0,0,0,200,0.0,"-8,194,833",7.8%,acc
15/02/2024,11.95(0.00 %),0,0.0,0,0,0,0.0,"-8,194,833",7.8%,acc
07/02/2024,11.95(1.70 %),0,0.0,0,0,0,0.0,"-8,194,833",7.8%,acc
06/02/2024,11.75(-0.42 %),0,0.0,0,0,0,0.0,"-8,194,833",7.8%,acc
05/02/2024,11.8(0.00 %),0,0.0,0,0,0,0.0,0,39.67%,acc
02/02/2024,11.8(0.00 %),0,0.0,0,0,0,0.0,"-8,194,833",7.8%,acc
01/02/2024,11.8(0.85 %),0,0.0,0,0,0,0.0,0,39.67%,acc
31/01/2024,11.7(0.00 %),0,0.0,0,0,0,0.0,"-8,194,833",7.8%,acc
30/01/2024,11.7(0.00 %),0,0.0,0,0,0,0.0,"-8,194,833",7.8%,acc
29/01/2024,11.7(0.00 %),0,0.0,0,0,0,0.0,"-8,194,833",7.8%,acc
26/01/2024,11.7(0.00 %),0,0.0,0,0,0,0.0,0,39.67%,acc
25/01/2024,11.7(0.00 %),0,0.0,0,0,0,0.0,0,39.67%,acc
24/01/2024,11.7(-0.85 %),0,0.0,0,0,0,0.0,0,39.67%,acc
23/01/2024,11.8(-0.42 %),-600,-0.01,0,0,600,0.01,0,39.67%,acc
22/01/2024,11.85(-1.25 %),"-10,000",-0.12,0,0,"10,000",0.12,0,39.67%,acc
19/01/2024,12(-0.83 %),0,0.0,0,0,0,0.0,0,39.67%,acc
18/01/2024,12.1(-0.41 %),0,0.0,0,0,0,0.0,0,39.67%,acc
17/01/2024,12.15(0.00 %),0,0.0,0,0,0,0.0,"-8,205,433",7.81%,acc
16/01/2024,12.15(0.00 %),0,0.0,0,0,0,0.0,"-8,206,738",7.82%,acc
15/01/2024,12.15(-0.41 %),"-1,300",-0.02,0,0,"1,300",0.02,"-8,208,743",7.82%,acc
12/01/2024,12.2(-0.41 %),"-2,000",-0.02,0,0,"2,000",0.02,0,39.67%,acc
11/01/2024,12.25(0.00 %),"-5,800",-0.07,0,0,"5,800",0.07,"-8,223,643",7.83%,acc
10/01/2024,12.25(-0.41 %),"-9,100",-0.11,0,0,"9,100",0.11,"-8,223,643",7.83%,acc
09/01/2024,12.3(0.00 %),0,0.0,0,0,0,0.0,"-8,223,643",7.83%,acc
08/01/2024,12.3(-0.40 %),0,0.0,0,0,0,0.0,0,39.67%,acc
05/01/2024,12.35(0.00 %),0,0.0,0,0,0,0.0,0,39.67%,acc
04/01/2024,12.35(0.41 %),-100,-0.0,0,0,100,0.0,0,39.67%,acc
03/01/2024,12.3(-0.40 %),0,0.0,0,0,0,0.0,0,39.67%,acc
02/01/2024,12.35(0.00 %),-800,-0.01,0,0,800,0.01,"-8,224,553",7.83%,acc
