date,close,adjusting_price,rate_change,order_matching_volume,order_matching_value,block_trade_volume,block_trade_value,open,high,low
12/09/2024,11.9,--,0(0.00 %),100,0,0,0,11.9,11.9,11.9
11/09/2024,11.9,--,0(0.00 %),0,0,0,0,11.9,11.9,11.9
10/09/2024,11.9,--,0(0.00 %),0,0,0,0,11.9,11.9,11.9
09/09/2024,11.9,--,0(0.00 %),0,0,"2,900",0.03,11.9,11.9,11.9
06/09/2024,11.9,--,0(0.00 %),0,0,0,0,11.9,11.9,11.9
05/09/2024,11.9,--,0(0.00 %),0,0,0,0,11.9,11.9,11.9
04/09/2024,11.9,--,0(0.00 %),0,0,0,0,11.9,11.9,11.9
30/08/2024,11.9,--,-2.1(-15.00 %),100,0,0,0,11.9,11.9,11.9
29/08/2024,14,--,0(0.00 %),0,0,0,0,14,14,14
28/08/2024,14,--,0(0.00 %),0,0,0,0,14,14,14
27/08/2024,14,--,1.7(13.82 %),100,0,0,0,14,14,14
26/08/2024,12.3,--,-2(-13.99 %),700,0.01,0,0,12.3,12.3,12.3
23/08/2024,14.3,--,0(0.00 %),200,0,0,0,14.3,14.3,14.3
22/08/2024,14.3,--,0(0.00 %),0,0,0,0,14.3,14.3,14.3
21/08/2024,14.3,--,0(0.00 %),0,0,0,0,14.3,14.3,14.3
20/08/2024,14.3,--,0(0.00 %),0,0,0,0,14.3,14.3,14.3
19/08/2024,14.3,--,0(0.00 %),0,0,0,0,14.3,14.3,14.3
16/08/2024,14.3,--,1.8(14.40 %),700,0.01,0,0,14.3,14.3,14.3
15/08/2024,12.5,--,0(0.00 %),0,0,0,0,12.5,12.5,12.5
14/08/2024,12.5,--,0(0.00 %),0,0,0,0,12.5,12.5,12.5
14/08/2024,12.5,--,0(0.00 %),0,0,0,0,12.5,12.5,12.5
13/08/2024,12.5,--,0(0.00 %),0,0,0,0,12.5,12.5,12.5
12/08/2024,12.5,--,0(0.00 %),0,0,0,0,12.5,12.5,12.5
09/08/2024,12.5,--,0(0.00 %),0,0,0,0,12.5,12.5,12.5
08/08/2024,12.5,--,0(0.00 %),0,0,0,0,12.5,12.5,12.5
07/08/2024,12.5,--,0(0.00 %),0,0,0,0,12.5,12.5,12.5
06/08/2024,12.5,--,0(0.00 %),0,0,0,0,12.5,12.5,12.5
05/08/2024,12.5,--,0(0.00 %),0,0,0,0,12.5,12.5,12.5
02/08/2024,12.5,--,0(0.00 %),0,0,0,0,12.5,12.5,12.5
01/08/2024,12.5,--,0(0.00 %),0,0,0,0,12.5,12.5,12.5
31/07/2024,12.5,--,0(0.00 %),0,0,0,0,12.5,12.5,12.5
30/07/2024,12.5,--,0(0.00 %),"1,000",0.01,0,0,12.5,12.5,12.5
29/07/2024,12.5,--,0(0.00 %),0,0,0,0,12.5,12.5,12.5
26/07/2024,12.5,--,0(0.00 %),0,0,0,0,12.5,12.5,12.5
25/07/2024,12.5,--,0(0.00 %),0,0,0,0,12.5,12.5,12.5
24/07/2024,12.5,--,0(0.00 %),0,0,0,0,12.5,12.5,12.5
23/07/2024,12.5,--,0(0.00 %),0,0,0,0,12.5,12.5,12.5
22/07/2024,12.5,--,0(0.00 %),0,0,0,0,12.5,12.5,12.5
19/07/2024,12.5,--,-2.2(-14.97 %),300,0,0,0,12.5,12.5,12.5
18/07/2024,14.7,--,0(0.00 %),0,0,0,0,14.7,14.7,14.7
17/07/2024,14.7,--,0(0.00 %),0,0,0,0,14.7,14.7,14.7
16/07/2024,14.7,--,0(0.00 %),0,0,0,0,14.7,14.7,14.7
