date,close,adjusting_price,rate_change,order_matching_volume,order_matching_value,block_trade_volume,block_trade_value,open,high,low
12/09/2024,6.5,--,0(0.00 %),0,0,0,0,6.5,6.5,6.5
11/09/2024,6.5,--,0(0.00 %),"1,700",0.01,0,0,6.5,6.5,6.5
10/09/2024,6.5,--,0(0.00 %),101,0,0,0,6.5,6.5,6.5
09/09/2024,6.5,--,0.2(3.17 %),800,0.01,0,0,6.3,6.5,6.3
06/09/2024,6.3,--,-0.2(-3.08 %),502,0,0,0,6.3,6.3,6.3
05/09/2024,6.5,--,0(0.00 %),300,0,0,0,6.5,6.5,6.5
04/09/2024,6.5,--,0(0.00 %),1,0,0,0,6.5,6.5,6.5
30/08/2024,6.5,--,-0.2(-2.99 %),200,0,0,0,6.6,6.6,6.5
29/08/2024,6.7,--,0(0.00 %),116,0,0,0,6.7,6.7,6.7
28/08/2024,6.7,--,0.2(3.08 %),"1,700",0.01,0,0,6.6,6.8,6.6
27/08/2024,6.5,--,-0.1(-1.52 %),"1,800",0.01,0,0,6.6,6.6,6.5
26/08/2024,6.6,--,0.4(6.45 %),101,0,0,0,6.6,6.6,6.6
23/08/2024,6.2,--,-0.5(-7.46 %),"1,000",0.01,0,0,6.6,6.6,6.2
22/08/2024,6.7,--,0(0.00 %),0,0,0,0,6.7,6.7,6.7
21/08/2024,6.7,--,0(0.00 %),3,0,0,0,6.7,6.7,6.7
20/08/2024,6.7,--,0.1(1.52 %),600,0,0,0,6.6,6.7,6.6
19/08/2024,6.6,--,0.3(4.76 %),"2,804",0.02,0,0,6.5,6.7,6.5
16/08/2024,6.3,--,0(0.00 %),"1,108",0.01,0,0,6.1,6.3,5.9
15/08/2024,6.3,--,0(0.00 %),10,0,0,0,6.3,6.3,6.3
14/08/2024,6.3,--,0(0.00 %),0,0,0,0,6.3,6.3,6.3
13/08/2024,6.3,--,0(0.00 %),300,0,0,0,6.3,6.3,6.3
12/08/2024,6.3,--,0(0.00 %),0,0,0,0,6.3,6.3,6.3
09/08/2024,6.3,--,0(0.00 %),0,0,0,0,6.3,6.3,6.3
08/08/2024,6.3,--,0(0.00 %),1,0,0,0,6.3,6.3,6.3
07/08/2024,6.3,--,0(0.00 %),0,0,0,0,6.3,6.3,6.3
06/08/2024,6.3,--,0(0.00 %),"1,000",0.01,0,0,6.3,6.3,6.3
05/08/2024,6.3,--,-0.1(-1.56 %),200,0,0,0,6.3,6.3,6.3
02/08/2024,6.4,--,0(0.00 %),5,0,0,0,6.4,6.4,6.4
01/08/2024,6.4,--,0(0.00 %),500,0,0,0,6.4,6.4,6.4
31/07/2024,6.4,--,0(0.00 %),"1,125",0.01,0,0,6.4,6.5,6.4
30/07/2024,6.4,--,0(0.00 %),0,0,0,0,6.4,6.4,6.4
29/07/2024,6.4,--,0(0.00 %),103,0,0,0,6.4,6.4,6.4
26/07/2024,6.4,--,0(0.00 %),201,0,0,0,6.5,6.5,6.4
25/07/2024,6.4,--,0(0.00 %),0,0,0,0,6.4,6.4,6.4
24/07/2024,6.4,--,0(0.00 %),3,0,0,0,6.4,6.4,6.4
23/07/2024,6.4,--,-0.1(-1.54 %),"1,103",0.01,0,0,6.3,6.4,6.3
22/07/2024,6.5,--,-0.2(-2.99 %),301,0,0,0,6.5,6.5,6.5
19/07/2024,6.7,--,0(0.00 %),210,0,0,0,6.7,6.7,6.7
18/07/2024,6.7,--,0.4(6.35 %),201,0,0,0,6.5,6.7,6.5
17/07/2024,6.3,--,-0.2(-3.08 %),"6,205",0.04,0,0,6.5,6.5,6
16/07/2024,6.5,--,0(0.00 %),0,0,0,0,6.5,6.5,6.5
15/07/2024,6.5,--,-0.4(-5.80 %),"1,700",0.01,0,0,6.7,6.7,6.5
12/07/2024,6.9,--,0(0.00 %),125,0,0,0,6.9,6.9,6.9
11/07/2024,6.9,--,0.1(1.47 %),100,0,0,0,6.9,6.9,6.9
10/07/2024,6.8,--,0(0.00 %),0,0,0,0,6.8,6.8,6.8
09/07/2024,6.8,--,0(0.00 %),"1,005",0.01,0,0,6.8,6.8,6.8
08/07/2024,6.8,--,0(0.00 %),509,0,0,0,6.8,6.8,6.8
05/07/2024,6.8,--,0.1(1.49 %),"6,900",0.05,0,0,6.5,6.8,6.5
04/07/2024,6.7,--,-0.2(-2.90 %),"9,600",0.06,0,0,6.8,6.8,6.7
03/07/2024,6.9,--,0.2(2.99 %),"10,700",0.07,0,0,6.8,6.9,6.7
02/07/2024,6.7,--,0(0.00 %),"6,150",0.04,0,0,6.7,6.9,6.6
01/07/2024,6.7,--,-0.1(-1.47 %),"12,301",0.08,0,0,6.8,6.8,6.5
28/06/2024,6.8,--,0(0.00 %),"12,301",0.08,0,0,6.7,6.8,6.5
27/06/2024,6.8,--,-0.3(-4.23 %),"9,800",0.07,0,0,7,7,6.8
26/06/2024,7.1,--,-0.3(-4.05 %),"14,800",0.1,0,0,7.3,7.3,6.8
25/06/2024,7.4,--,-0.4(-5.13 %),"30,344",0.23,0,0,8,8.5,7.1
24/06/2024,7.8,--,0.7(9.86 %),"9,611",0.07,0,0,7.3,7.8,7.3
21/06/2024,7.1,--,0.6(9.23 %),"56,400",0.4,0,0,6.3,7.1,6.3
20/06/2024,6.5,--,0(0.00 %),11,0,0,0,6.5,6.5,6.5
19/06/2024,6.5,--,0(0.00 %),100,0,0,0,6.5,6.5,6.5
18/06/2024,6.5,--,0(0.00 %),300,0,0,0,6.5,6.5,6.5
17/06/2024,6.5,--,0(0.00 %),500,0,0,0,6.5,6.5,6.5
14/06/2024,6.5,--,0(0.00 %),500,0,0,0,6.5,6.5,6.5
13/06/2024,6.5,--,0(0.00 %),"2,900",0.02,0,0,6.5,6.5,6.5
12/06/2024,6.5,--,-0.1(-1.52 %),800,0.01,0,0,6.5,6.5,6.5
11/06/2024,6.6,--,0(0.00 %),0,0,0,0,6.6,6.6,6.6
